date	Malaysia	Singapore	China
19700101	3.0612200021	3.0612200021	2.4618094551
19710101	3.0522604298	3.0507016685	2.4618094551
19720101	2.8195558683	2.812499999	2.2450669559
19730101	2.4433296549	2.4573666658	1.9894159741
19740101	2.4070666659	2.4368666658	1.961199999
19750101	2.3937833332	2.3712999991	1.859799999
19760101	2.5415749992	2.4708416659	1.941399999
19770101	2.4612833324	2.4393999993	1.857823802
19780101	2.3160416658	2.2740249992	1.683599999
19790101	2.1884416659	2.1745583325	1.554999999
19800101	2.1768833324	2.1412083326	1.498399999
19810101	2.3041249992	2.112691666	1.7045333325
19820101	2.3353916658	2.1400249992	1.8925416658
19830101	2.3212499992	2.113049999	1.9756749992
19840101	2.3436416662	2.133083333	2.3200416663
19850101	2.4830416667	2.2001499997	2.9366583333
19860101	2.5814416667	2.1774166665	3.4527916666
19870101	2.5196383333	2.1059833333	3.7221
19880101	2.6187833333	2.012425	3.7221
19890101	2.7088416667	1.9502583333	3.7651083333
19900101	2.704875	1.8125333333	4.7832083333
19910101	2.7500666667	1.72755	5.3233916667
19920101	2.5473833333	1.6289666667	5.5145916667
19930101	2.574095	1.6157908333	5.7619583333
19940101	2.6242566667	1.5274441667	8.6187426667
19950101	2.5044041667	1.417375	8.3514166667
19960101	2.5159425	1.4100408333	8.314175
19970101	2.8131916667	1.4848058333	8.2898166667
19980101	3.924375	1.6736016667	8.2789583333
19990101	3.8	1.6949566667	8.27825
20000101	3.8	1.7239633333	8.2785041667
20010101	3.8	1.7917225	8.2770683333
20020101	3.8	1.7905883333	8.2769575
20030101	3.8	1.7421833333	8.2770366667
20040101	3.8	1.6902283333	8.2768008333
20050101	3.7870916667	1.6643975	8.1943166667
20060101	3.6681769583	1.5889333333	7.9734383333
20070101	3.4375693823	1.5071016667	7.6075325
20080101	3.3358333333	1.4148608333	6.948655
20090101	3.5245029107	1.4545147134	6.8314160518
20100101	3.2210869147	1.3635083333	6.7702690287
20110101	3.0600030105	1.2577758772	6.4614613266
20120101	3.0888008666	1.2496762037	6.3123328268
20130101	3.1509085501	1.2513	6.1957583461
20140101	3.2728597464	1.26705	6.1434340945
20150101	3.905500263	1.374825	6.227488673
20160101	4.148294959	1.3815463636	6.6444778294
