date	Malaysia	Singapore	India	China	Japan
19700101	3.0612200021	3.0612200021	7.5000000065	2.4618094551	360.000000359
19710101	3.0522604298	3.0507016685	7.491935231	2.4618094551	350.6776935334
19720101	2.8195558683	2.812499999	7.5944683739	2.2450669559	303.172499999
19730101	2.4433296549	2.4573666658	7.7420385621	1.9894159741	271.7016666661
19740101	2.4070666659	2.4368666658	8.1016032272	1.961199999	292.0824999993
19750101	2.3937833332	2.3712999991	8.3758919457	1.859799999	296.7874999992
19760101	2.5415749992	2.4708416659	8.9604127281	1.941399999	296.5524999992
19770101	2.4612833324	2.4393999993	8.7385761713	1.857823802	268.5099999993
19780101	2.3160416658	2.2740249992	8.1928403484	1.683599999	210.441666666
19790101	2.1884416659	2.1745583325	8.1257909464	1.554999999	219.1399999993
19800101	2.1768833324	2.1412083326	7.8629447011	1.498399999	226.7408333328
19810101	2.3041249992	2.112691666	8.6585228171	1.7045333325	220.5358333328
19820101	2.3353916658	2.1400249992	9.4551319335	1.8925416658	249.0766666658
19830101	2.3212499992	2.113049999	10.098898244	1.9756749992	237.5116666661
19840101	2.3436416662	2.133083333	11.3625833327	2.3200416663	237.5224999993
19850101	2.4830416667	2.2001499997	12.3687499996	2.9366583333	238.5358333328
19860101	2.5814416667	2.1774166665	12.6108333333	3.4527916666	168.5198333331
19870101	2.5196383333	2.1059833333	12.9615	3.7221	144.6375
19880101	2.6187833333	2.012425	13.9170833333	3.7221	128.1516666667
19890101	2.7088416667	1.9502583333	16.2255	3.7651083333	137.9644166667
19900101	2.704875	1.8125333333	17.5035	4.7832083333	144.7925
19910101	2.7500666667	1.72755	22.7424333333	5.3233916667	134.7066666667
19920101	2.5473833333	1.6289666667	25.9180833333	5.5145916667	126.6513333333
19930101	2.574095	1.6157908333	30.4932916667	5.7619583333	111.1977858333
19940101	2.6242566667	1.5274441667	31.3737425	8.6187426667	102.2078058333
19950101	2.5044041667	1.417375	32.4270766667	8.3514166667	94.0595791667
19960101	2.5159425	1.4100408333	35.4331733333	8.314175	108.7790566667
19970101	2.8131916667	1.4848058333	36.3132858333	8.2898166667	120.9908625
19980101	3.924375	1.6736016667	41.259365	8.2789583333	130.9053006667
19990101	3.8	1.6949566667	43.0554283333	8.27825	113.906805
20000101	3.8	1.7239633333	44.941605	8.2785041667	107.7654983333
20010101	3.8	1.7917225	47.1864141667	8.2770683333	121.5289475
20020101	3.8	1.7905883333	48.6103191667	8.2769575	125.3880191667
20030101	3.8	1.7421833333	46.5832841667	8.2770366667	115.9334641667
20040101	3.8	1.6902283333	45.3164666667	8.2768008333	108.1925691667
20050101	3.7870916667	1.6643975	44.099975	8.1943166667	110.2182116667
20060101	3.6681769583	1.5889333333	45.3070083333	7.9734383333	116.2993116667
20070101	3.4375693823	1.5071016667	41.3485333333	7.6075325	117.7535291667
20080101	3.3358333333	1.4148608333	43.5051833333	6.948655	103.3594939683
20090101	3.5245029107	1.4545147134	48.4052666667	6.8314160518	93.570089087
20100101	3.2210869147	1.3635083333	45.7258121212	6.7702690287	87.779875
20110101	3.0600030105	1.2577758772	46.6704666667	6.4614613266	79.8070198322
20120101	3.0888008666	1.2496762037	53.4372333333	6.3123328268	79.790455417
20130101	3.1509085501	1.2513	58.5978454167	6.1957583461	97.5956582776
20140101	3.2728597464	1.26705	61.0295144608	6.1434340945	105.944781034
20150101	3.905500263	1.374825	64.1519444633	6.227488673	121.044025684
20160101	4.148294959	1.3815463636	67.1953128074	6.6444778294	108.7929000468
